startId,endId,startLat,startLon,endLat,endLon,roadCount
65288866,65294308,37.750236,-122.42508899999999,37.749429,-122.42501200000001,1.0
65289005,65312208,37.764317,-122.431716,37.764369,-122.430916,1.0
65293870,353696607,37.765776,-122.426585,37.765314000000004,-122.42653999999999,1.0
65294225,65294235,37.762162,-122.42623600000002,37.761421999999996,-122.426165,1.0
65294250,65294258,37.759023,-122.42593400000001,37.758227000000005,-122.425858,2.0
65294270,6346191383,37.75663,-122.42570400000001,37.755832,-122.425628,2.0
65296312,65296310,37.766536,-122.435571,37.767336,-122.435648,1.0
65302728,65317431,37.762002,-122.44335900000002,37.762196,-122.440169,1.0
65307313,65317442,37.76173,-122.44780300000001,37.761646,-122.44913700000001,1.0
65313348,65327923,37.770434,-122.44366200000002,37.770218,-122.445361,4.0
65327916,65301508,37.770855,-122.44036000000001,37.771063,-122.43873300000001,2.0
65327931,65327929,37.769531,-122.45072900000001,37.769594,-122.450235,2.0
65332172,65298370,37.768602,-122.45054099999999,37.766737,-122.45016499999998,2.0
65332225,258969415,37.772013,-122.42374299999999,37.771749,-122.423702,1.0
65335720,65335722,37.76607,-122.429951,37.764437,-122.429794,2.0
65335722,65335720,37.764437,-122.429794,37.76607,-122.429951,1.0
65336528,65298370,37.765806,-122.449977,37.766737,-122.45016499999998,2.0
65336528,65346050,37.765806,-122.449977,37.764875,-122.449789,2.0
65345379,65296319,37.764226,-122.433199,37.764133,-122.43533899999998,2.0
65345379,65296324,37.764226,-122.433199,37.76271,-122.435203,2.0
65349054,295218284,37.747943,-122.423052,37.747942,-122.422531,2.0
65360267,65354417,37.778890999999994,-122.414956,37.778677,-122.416619,2.0
1723563908,65292682,37.770137,-122.42574099999999,37.769632,-122.426399,1.0
1723738880,1723739367,37.77365,-122.42133500000001,37.773087,-122.42206999999999,1.0
1723738980,267455477,37.772599,-122.42266000000001,37.771986,-122.423404,3.0
1723739045,4061762663,37.776564,-122.41800500000001,37.776543,-122.41762,1.0
4061806119,4061806120,37.778776,-122.414826,37.777786,-122.416083,9.0
4165593360,258758040,37.775283,-122.41923500000001,37.776389,-122.41941899999999,3.0
4724558266,2399950833,37.748061,-122.420286,37.748101,-122.418276,2.0
6336978437,4357170829,37.767538,-122.429029,37.766492,-122.43036799999999,1.0
