startId,endId,startLat,startLon,endLat,endLon,roadCount
65292747,173176453,37.792015,-122.431109,37.792223,-122.42946599999999,1.0
65299292,65345234,37.799385,-122.40243500000001,37.800314,-122.40262,1.0
65299397,65327181,37.796902,-122.421978,37.795953999999995,-122.42178600000001,15.0
65301479,65312631,37.801732,-122.40654599999999,37.800839,-122.406038,2.0
65305817,65352429,37.791909000000004,-122.402598,37.791703000000005,-122.404233,10.0
65305854,65345250,37.80011,-122.404256,37.799909,-122.405851,2.0
65305859,65312631,37.801041999999995,-122.404443,37.800839,-122.406038,1.0
65310082,65322686,37.79951,-122.419127,37.800139,-122.419257,1.0
65312616,65336494,37.801392,-122.40163000000001,37.800463,-122.401443,4.0
65322658,65322660,37.801375,-122.40938999999999,37.801171000000004,-122.411033,1.0
65326736,65343967,37.790884000000005,-122.41063899999999,37.790675,-122.412287,13.0
65327169,258758546,37.789629999999995,-122.42050900000001,37.789429999999996,-122.422076,18.0
65327176,65327179,37.794145,-122.42142199999999,37.795028,-122.421601,5.0
65327403,65295278,37.792413,-122.39861,37.793365,-122.398801,7.0
65328349,65307438,37.790928,-122.432581,37.790046999999994,-122.4324,2.0
65329111,65351407,37.789003,-122.42544099999999,37.788793,-122.42708799999998,7.0
65336047,65336052,37.803251,-122.402001,37.803105,-122.403175,2.0
65337003,65350771,37.791973,-122.424356,37.792853,-122.42453400000001,2.0
65337426,65327176,37.794357,-122.419776,37.794145,-122.42142199999999,4.0
65337426,65354451,37.794357,-122.419776,37.793481,-122.4196,2.0
65345280,65299395,37.798052,-122.420521,37.797123,-122.42033300000001,3.0
65350771,65374555,37.792853,-122.42453400000001,37.793051,-122.422964,1.0
65352450,65352454,37.790257000000004,-122.415575,37.790048,-122.41722,11.0
258758542,65327174,37.793071000000005,-122.42281100000001,37.793271000000004,-122.421245,4.0
5283675535,5283675534,37.792645,-122.426176,37.792439,-122.42778600000001,1.0
5854943486,65327403,37.792558,-122.39743100000001,37.792413,-122.39861,13.0
6319217961,65326736,37.791087,-122.409044,37.790884000000005,-122.41063899999999,16.0
