startId,endId,startLat,startLon,endLat,endLon,roadCount
65280506,65282876,37.732254,-122.432121,37.731578000000006,-122.436543,3.0
65287691,65335530,37.762957,-122.45976999999999,37.763825,-122.456704,10.0
65287691,65351064,37.762957,-122.45976999999999,37.762646999999994,-122.460862,1.0
65292169,65292171,37.728357,-122.451144,37.729062,-122.451149,1.0
65312068,65312058,37.739613,-122.407656,37.739689,-122.408895,1.0
65315836,65315846,37.771765,-122.42035200000001,37.77042,-122.42019599999999,2.0
65316590,65355417,37.762201,-122.46727800000001,37.764002000000005,-122.467404,1.0
65316785,65297593,37.762231,-122.46513,37.762184000000005,-122.466202,3.0
65327923,65327925,37.770218,-122.445361,37.770015,-122.446952,10.0
65327931,65327929,37.769531,-122.45072900000001,37.769594,-122.450235,1.0
65328196,65354073,37.775121,-122.429383,37.774912,-122.431028,1.0
65335530,65287691,37.763825,-122.456704,37.762957,-122.45976999999999,5.0
65337073,65327927,37.770739,-122.448783,37.769804,-122.448595,1.0
65346050,65336528,37.764875,-122.449789,37.765806,-122.449977,1.0
65351426,65318991,37.776207,-122.42458899999998,37.776004,-122.42619199999999,1.0
65351550,65318239,37.764518,-122.45258899999999,37.764399,-122.45353300000001,1.0
65355417,65355419,37.764002000000005,-122.467404,37.763954999999996,-122.468473,1.0
314079692,65371540,37.76726,-122.405473,37.766047,-122.405244,1.0
729040229,65281752,37.752553999999996,-122.402999,37.751497,-122.40331,2.0
764927041,315706810,37.732371,-122.414657,37.731552,-122.42493600000002,4.0
1711296665,65292171,37.729065000000006,-122.45246200000001,37.729062,-122.451149,5.0
3716495457,65339258,37.774284,-122.435961,37.774077,-122.43758400000002,30.0
