startId,endId,startLat,startLon,endLat,endLon,roadCount
65295314,6319217963,37.791838,-122.41083,37.792044,-122.40923500000001,25.0
65295324,65295320,37.791631,-122.41248,37.791725,-122.411731,10.0
65295328,65295324,37.79142,-122.41412199999999,37.791631,-122.41248,7.0
65295332,65295336,37.791208000000005,-122.41576699999999,37.791,-122.41741100000002,9.0
65295337,65295340,37.790793,-122.419058,37.790584,-122.420701,12.0
65295345,65295347,37.790165,-122.42399099999999,37.789956,-122.42563600000001,3.0
65299342,295185114,37.798171,-122.412108,37.797271,-122.411926,1.0
65303259,65317128,37.804684,-122.41342900000001,37.803759,-122.41323799999999,1.0
65303560,65303561,37.787349,-122.423422,37.78714,-122.42506499999999,9.0
65307381,65307389,37.792976,-122.409364,37.792765,-122.411027,7.0
65314187,65319023,37.785787,-122.42816599999999,37.785044,-122.42801499999999,1.0
65314189,65314187,37.785388,-122.43131100000001,37.785787,-122.42816599999999,5.0
65317120,65303257,37.803961,-122.41159499999999,37.804894,-122.41178300000001,3.0
65322660,65322658,37.801171000000004,-122.411033,37.801375,-122.40938999999999,1.0
65322667,65312662,37.800967,-122.412671,37.800036999999996,-122.41248300000001,1.0
65326695,65297244,37.808427,-122.41418300000001,37.807486,-122.41398899999999,2.0
65326698,65296810,37.806562,-122.413803,37.805628999999996,-122.41360700000001,1.0
65326698,65297244,37.806562,-122.413803,37.807486,-122.41398899999999,1.0
65326698,65332866,37.806562,-122.413803,37.806768,-122.41216000000001,1.0
65326722,65326716,37.794525,-122.41137900000001,37.795408,-122.41156000000001,3.0
65332833,5020557558,37.793858,-122.409554,37.793402,-122.409453,1.0
65332858,65332861,37.802092,-122.41121799999999,37.803039,-122.411409,2.0
258759765,65314189,37.78537,-122.431455,37.785388,-122.43131100000001,2.0
330662141,4019577207,37.798696,-122.40788799999999,37.799487,-122.409001,7.0
1564279877,65295345,37.790402,-122.42242900000001,37.790165,-122.42399099999999,10.0
5610843322,330666993,37.799625,-122.40914199999999,37.800326,-122.410151,2.0
6319217963,65295314,37.792044,-122.40923500000001,37.791838,-122.41083,16.0
