startId,endId,startLat,startLon,endLat,endLon,roadCount
65282779,65281916,37.780791,-122.399635,37.779035,-122.401858,4.0
65295275,5854943486,37.793513,-122.397627,37.792558,-122.39743100000001,30.0
65303525,65303529,37.79025,-122.400589,37.790043,-122.402221,39.0
65303678,65293768,37.778156,-122.40297,37.777278,-122.40408300000001,3.0
65305817,65305815,37.791909000000004,-122.402598,37.790979,-122.40241,12.0
65307356,65295279,37.794144,-122.40016399999999,37.793215999999994,-122.399977,6.0
65307359,65305819,37.793996,-122.40133700000001,37.793788,-122.402976,9.0
65317030,65334510,37.78801,-122.39981100000001,37.789771,-122.39756399999999,22.0
65317045,317102904,37.784313,-122.395178,37.784626,-122.39478000000001,1.0
65317715,65282779,37.781794,-122.39836499999998,37.780791,-122.399635,7.0
65319908,1723739359,37.791327,-122.39957199999999,37.790727000000004,-122.39957199999999,7.0
65319933,65319923,37.79057,-122.405599,37.790765,-122.404059,11.0
65327388,65312616,37.800615,-122.40026399999999,37.801392,-122.40163000000001,3.0
65328690,2936165726,37.787768,-122.40505700000001,37.787566,-122.406589,11.0
65334510,65306795,37.789771,-122.39756399999999,37.788542,-122.396028,14.0
65336479,65307356,37.794998,-122.400332,37.794144,-122.40016399999999,16.0
65345229,65373502,37.800976,-122.39903600000001,37.804071,-122.40181100000001,23.0
65373364,65333957,37.796796,-122.39528899999999,37.799315,-122.397551,18.0
258756405,5318541585,37.793276,-122.39636000000002,37.792578999999996,-122.397225,7.0
552853367,552853360,37.788292999999996,-122.408433,37.787365,-122.40824599999999,18.0
1271001348,65328690,37.788703000000005,-122.405247,37.787768,-122.40505700000001,2.0
1578907668,65317939,37.786434,-122.408056,37.786640000000006,-122.40641000000001,6.0
1723739123,65334510,37.79105,-122.39916299999999,37.789771,-122.39756399999999,15.0
1723739241,1723739123,37.790312,-122.400097,37.79105,-122.39916299999999,11.0
2936165726,552853360,37.787566,-122.406589,37.787365,-122.40824599999999,11.0
4186454033,258965616,37.796482,-122.39611399999998,37.796634000000005,-122.395556,4.0
4627635288,4627636293,37.786439,-122.393515,37.785939,-122.393124,1.0
5858516700,1723739244,37.789887,-122.40063500000001,37.789284,-122.401398,8.0
6319217971,65319940,37.790168,-122.40876100000001,37.790376,-122.407124,8.0
