startId,endId,startLat,startLon,endLat,endLon,roadCount
65306802,65300085,37.785888,-122.39937900000001,37.785015,-122.400478,19.0
65307356,65295279,37.794144,-122.40016399999999,37.793215999999994,-122.399977,9.0
65310547,65286228,37.808073,-122.36723500000001,37.785942999999996,-122.39098600000001,40.0
65317030,65334510,37.78801,-122.39981100000001,37.789771,-122.39756399999999,14.0
65317030,1723739244,37.78801,-122.39981100000001,37.789284,-122.401398,4.0
65319911,65303525,37.791182,-122.400773,37.79025,-122.400589,2.0
65319923,65352429,37.790765,-122.404059,37.791703000000005,-122.404233,23.0
65329980,65300097,37.787455,-122.40050900000001,37.786260999999996,-122.402041,16.0
65329980,65306800,37.787455,-122.40050900000001,37.786206,-122.39898400000001,10.0
65333972,65336489,37.798584999999996,-122.40106899999999,37.797661,-122.40088,3.0
65333976,65359317,37.798435,-122.402245,37.797511,-122.40203899999999,4.0
65334510,65317030,37.789771,-122.39756399999999,37.78801,-122.39981100000001,14.0
65336047,65336052,37.803251,-122.402001,37.803105,-122.403175,4.0
65336485,65336479,37.795874,-122.400508,37.794998,-122.400332,6.0
65336947,65336479,37.794865,-122.40151599999999,37.794998,-122.400332,5.0
65336953,65305827,37.794462,-122.404793,37.794676,-122.403158,6.0
65352435,6319217970,37.791301000000004,-122.407358,37.791098,-122.408952,13.0
65363153,65334510,37.790462,-122.396689,37.789771,-122.39756399999999,3.0
280836272,65336047,37.803968,-122.402025,37.803251,-122.402001,2.0
1723738990,1723738833,37.787676,-122.40343600000001,37.786749,-122.404606,2.0
5311602980,65306793,37.788632,-122.394369,37.789232,-122.39514799999999,2.0
