startId,endId,startLat,startLon,endLat,endLon,roadCount
65295314,65307389,37.791838,-122.41083,37.792765,-122.411027,7.0
65295320,65295314,37.791725,-122.411731,37.791838,-122.41083,7.0
65295332,65295328,37.791208000000005,-122.41576699999999,37.79142,-122.41412199999999,1.0
65297241,65332866,37.807695,-122.412347,37.806768,-122.41216000000001,1.0
65306087,65295320,37.79265,-122.41193200000001,37.791725,-122.411731,2.0
65307248,65307251,37.797295,-122.415306,37.797073,-122.41695,2.0
65307381,65307389,37.792976,-122.409364,37.792765,-122.411027,2.0
65307389,65295314,37.792765,-122.411027,37.791838,-122.41083,13.0
65326698,65332866,37.806562,-122.413803,37.806768,-122.41216000000001,10.0
65333356,65333358,37.806356,-122.415449,37.80615,-122.41709499999999,7.0
65333361,65296818,37.805981,-122.418388,37.805176,-122.417235,5.0
65343971,65326722,37.794323999999996,-122.413021,37.794525,-122.41137900000001,4.0
65362185,65364447,37.802219,-122.41798700000001,37.80242,-122.41633799999998,1.0
65365835,65336976,37.794127,-122.414666,37.79323,-122.41448700000001,2.0
300781672,4180837706,37.808492,-122.41194099999998,37.808151,-122.40938999999999,95.0
6250503154,65337410,37.7952,-122.41318700000001,37.794989,-122.414841,4.0
