startId,endId,startLat,startLon,endLat,endLon,roadCount
65295287,65295289,37.792859,-122.402791,37.792656,-122.404426,4.0
65295314,65326736,37.791838,-122.41083,37.790884000000005,-122.41063899999999,7.0
65295314,6319217963,37.791838,-122.41083,37.792044,-122.40923500000001,24.0
65297249,65333358,37.80708,-122.41727900000001,37.80615,-122.41709499999999,5.0
65303544,6319217971,37.789229,-122.408616,37.790168,-122.40876100000001,7.0
65305832,65305829,37.795533,-122.40331299999998,37.795065,-122.40323400000001,3.0
65312664,65312662,37.799828000000005,-122.41413100000001,37.800036999999996,-122.41248300000001,6.0
65312670,65312672,37.799621,-122.415774,37.799413,-122.417422,3.0
65312687,65312685,37.798766,-122.42235500000001,37.798986,-122.420709,2.0
65312687,65327183,37.798766,-122.42235500000001,37.797834,-122.42216699999999,4.0
65314156,65326740,37.788084000000005,-122.410077,37.787156,-122.40988899999999,9.0
65319923,65352429,37.790765,-122.404059,37.791703000000005,-122.404233,9.0
65319946,6319217960,37.789953000000004,-122.410453,37.790156,-122.408854,11.0
65326702,65364443,37.802184000000004,-122.412908,37.802751,-122.41372,7.0
65334120,65314158,37.786947,-122.41153600000001,37.787876000000004,-122.411723,29.0
65336961,65307376,37.794065,-122.40791399999999,37.793185,-122.40773600000001,3.0
65337385,65374820,37.796223,-122.405147,37.796894,-122.405282,5.0
65372833,65374820,37.797072,-122.405542,37.796894,-122.405282,2.0
330661310,612767847,37.797875,-122.40663400000001,37.798133,-122.407075,2.0
330662141,4019577207,37.798696,-122.40788799999999,37.799487,-122.409001,6.0
330666983,6378899554,37.800313,-122.41028500000002,37.799543,-122.409153,10.0
552853367,552853360,37.788292999999996,-122.408433,37.787365,-122.40824599999999,37.0
612767658,65372833,37.797515999999995,-122.40618300000001,37.797072,-122.405542,4.0
2936165726,552853360,37.787566,-122.406589,37.787365,-122.40824599999999,27.0
3406604945,65319933,37.790414,-122.40682199999999,37.79057,-122.405599,5.0
6319217960,65303544,37.790156,-122.408854,37.789229,-122.408616,4.0
6319217963,6319217961,37.792044,-122.40923500000001,37.791087,-122.409044,3.0
