x,y,count
13.0,25.0,1.0
14.0,20.0,1.0
16.0,26.0,2.0
16.0,27.0,1.0
16.0,28.0,1.0
18.0,18.0,1.0
19.0,8.0,1.0
19.0,10.0,1.0
19.0,30.0,1.0
20.0,16.0,1.0
20.0,30.0,1.0
20.0,40.0,1.0
21.0,59.0,1.0
22.0,28.0,1.0
23.0,6.0,1.0
23.0,32.0,1.0
24.0,41.0,1.0
24.0,43.0,1.0
24.0,45.0,1.0
24.0,46.0,1.0
25.0,22.0,2.0
25.0,27.0,1.0
25.0,29.0,2.0
25.0,30.0,4.0
25.0,32.0,1.0
25.0,33.0,1.0
25.0,35.0,1.0
25.0,36.0,1.0
25.0,37.0,1.0
25.0,38.0,1.0
25.0,39.0,1.0
25.0,40.0,1.0
25.0,44.0,1.0
25.0,45.0,1.0
25.0,59.0,1.0
25.0,67.0,1.0
26.0,5.0,1.0
26.0,17.0,1.0
26.0,22.0,1.0
26.0,32.0,1.0
26.0,39.0,1.0
26.0,40.0,1.0
26.0,59.0,1.0
26.0,64.0,1.0
26.0,70.0,4.0
27.0,4.0,2.0
27.0,5.0,1.0
27.0,6.0,1.0
27.0,7.0,2.0
27.0,8.0,1.0
27.0,11.0,2.0
27.0,12.0,1.0
27.0,16.0,1.0
27.0,32.0,2.0
27.0,34.0,1.0
27.0,47.0,2.0
27.0,53.0,1.0
27.0,60.0,1.0
28.0,4.0,1.0
28.0,9.0,1.0
28.0,10.0,2.0
28.0,19.0,3.0
28.0,22.0,2.0
28.0,32.0,1.0
28.0,44.0,2.0
28.0,53.0,2.0
28.0,55.0,1.0
28.0,59.0,3.0
29.0,11.0,1.0
29.0,18.0,2.0
29.0,41.0,2.0
29.0,45.0,1.0
29.0,53.0,1.0
29.0,59.0,1.0
29.0,71.0,2.0
30.0,18.0,1.0
30.0,42.0,1.0
30.0,44.0,1.0
30.0,58.0,1.0
30.0,71.0,1.0
31.0,12.0,1.0
31.0,13.0,1.0
31.0,41.0,1.0
31.0,44.0,4.0
31.0,45.0,1.0
31.0,46.0,2.0
31.0,53.0,1.0
31.0,54.0,1.0
31.0,58.0,2.0
31.0,59.0,2.0
31.0,71.0,4.0
32.0,37.0,1.0
32.0,43.0,1.0
32.0,45.0,1.0
