x,y,count
18.0,39.0,3.0
18.0,57.0,25.0
18.0,58.0,9.0
20.0,10.0,4.0
20.0,39.0,1.0
20.0,40.0,1.0
20.0,58.0,2.0
21.0,58.0,1.0
21.0,59.0,1.0
22.0,20.0,1.0
22.0,36.0,1.0
22.0,40.0,1.0
22.0,41.0,1.0
22.0,62.0,1.0
23.0,10.0,1.0
23.0,41.0,1.0
23.0,51.0,1.0
23.0,59.0,2.0
24.0,20.0,1.0
24.0,29.0,1.0
24.0,34.0,1.0
24.0,39.0,1.0
24.0,41.0,4.0
24.0,42.0,1.0
24.0,43.0,2.0
24.0,45.0,2.0
24.0,47.0,2.0
25.0,20.0,1.0
25.0,21.0,1.0
25.0,22.0,2.0
25.0,24.0,1.0
25.0,27.0,2.0
25.0,28.0,1.0
25.0,29.0,5.0
25.0,31.0,1.0
25.0,35.0,1.0
25.0,36.0,2.0
25.0,37.0,1.0
25.0,38.0,2.0
25.0,40.0,1.0
25.0,41.0,1.0
25.0,45.0,1.0
25.0,52.0,1.0
26.0,7.0,1.0
26.0,20.0,2.0
26.0,32.0,1.0
26.0,39.0,1.0
26.0,42.0,2.0
26.0,59.0,31.0
27.0,12.0,2.0
27.0,16.0,2.0
27.0,29.0,1.0
27.0,45.0,1.0
27.0,60.0,1.0
27.0,62.0,1.0
28.0,6.0,1.0
28.0,7.0,1.0
28.0,11.0,1.0
28.0,18.0,12.0
28.0,20.0,1.0
28.0,22.0,2.0
28.0,44.0,1.0
28.0,53.0,1.0
28.0,59.0,1.0
29.0,17.0,7.0
29.0,24.0,1.0
29.0,42.0,2.0
29.0,47.0,1.0
29.0,68.0,1.0
30.0,7.0,1.0
30.0,17.0,2.0
30.0,38.0,1.0
30.0,41.0,1.0
30.0,44.0,1.0
30.0,45.0,1.0
30.0,46.0,4.0
30.0,47.0,1.0
30.0,59.0,1.0
30.0,77.0,1.0
31.0,11.0,1.0
31.0,29.0,1.0
31.0,38.0,2.0
31.0,39.0,2.0
31.0,42.0,1.0
31.0,43.0,1.0
31.0,44.0,2.0
31.0,46.0,1.0
32.0,8.0,5.0
32.0,9.0,1.0
32.0,11.0,1.0
32.0,27.0,1.0
32.0,43.0,3.0
32.0,44.0,1.0
32.0,46.0,1.0
32.0,62.0,1.0
33.0,43.0,2.0
33.0,44.0,3.0
33.0,46.0,1.0
33.0,47.0,4.0
33.0,55.0,1.0
33.0,57.0,2.0
34.0,25.0,1.0
34.0,44.0,1.0
34.0,46.0,1.0
34.0,47.0,1.0
34.0,59.0,2.0
35.0,14.0,1.0
35.0,27.0,1.0
35.0,32.0,1.0
35.0,47.0,1.0
35.0,55.0,1.0
35.0,56.0,1.0
36.0,24.0,4.0
36.0,26.0,1.0
36.0,45.0,3.0
36.0,48.0,2.0
36.0,54.0,1.0
36.0,55.0,1.0
36.0,56.0,1.0
36.0,59.0,1.0
36.0,63.0,1.0
37.0,45.0,1.0
37.0,46.0,1.0
37.0,47.0,1.0
37.0,49.0,1.0
37.0,56.0,1.0
37.0,65.0,1.0
38.0,31.0,1.0
38.0,45.0,3.0
38.0,46.0,3.0
38.0,49.0,2.0
38.0,50.0,1.0
38.0,54.0,1.0
38.0,55.0,1.0
38.0,56.0,1.0
38.0,58.0,2.0
38.0,59.0,11.0
38.0,64.0,2.0
38.0,66.0,1.0
38.0,77.0,1.0
39.0,29.0,3.0
39.0,45.0,1.0
39.0,46.0,2.0
39.0,48.0,2.0
39.0,50.0,6.0
39.0,52.0,3.0
39.0,53.0,1.0
39.0,54.0,1.0
39.0,58.0,6.0
39.0,59.0,6.0
39.0,60.0,1.0
39.0,61.0,1.0
39.0,66.0,1.0
40.0,13.0,1.0
40.0,29.0,1.0
40.0,31.0,1.0
40.0,43.0,1.0
40.0,46.0,1.0
40.0,47.0,1.0
40.0,50.0,2.0
40.0,51.0,1.0
40.0,52.0,2.0
40.0,62.0,3.0
40.0,64.0,1.0
41.0,12.0,1.0
41.0,30.0,1.0
41.0,47.0,1.0
41.0,48.0,4.0
41.0,50.0,2.0
41.0,51.0,1.0
41.0,52.0,1.0
41.0,64.0,1.0
41.0,65.0,5.0
41.0,67.0,1.0
42.0,44.0,1.0
42.0,45.0,1.0
42.0,49.0,1.0
42.0,50.0,7.0
42.0,52.0,2.0
42.0,59.0,1.0
42.0,60.0,1.0
42.0,62.0,1.0
42.0,66.0,2.0
43.0,11.0,3.0
43.0,12.0,2.0
43.0,28.0,1.0
43.0,31.0,1.0
43.0,44.0,1.0
43.0,48.0,1.0
43.0,53.0,1.0
43.0,57.0,3.0
43.0,58.0,1.0
43.0,59.0,4.0
43.0,60.0,4.0
43.0,61.0,2.0
43.0,62.0,2.0
43.0,65.0,1.0
43.0,66.0,1.0
44.0,11.0,1.0
44.0,32.0,1.0
44.0,44.0,2.0
44.0,50.0,2.0
44.0,51.0,3.0
44.0,52.0,1.0
44.0,53.0,4.0
44.0,54.0,3.0
44.0,55.0,3.0
44.0,56.0,1.0
44.0,60.0,1.0
44.0,63.0,3.0
44.0,66.0,2.0
44.0,79.0,1.0
45.0,23.0,1.0
45.0,32.0,2.0
45.0,34.0,1.0
45.0,43.0,1.0
45.0,50.0,1.0
45.0,52.0,1.0
45.0,53.0,1.0
45.0,55.0,1.0
45.0,63.0,1.0
45.0,66.0,1.0
45.0,67.0,2.0
45.0,72.0,1.0
45.0,73.0,1.0
45.0,74.0,5.0
45.0,76.0,1.0
45.0,77.0,2.0
45.0,78.0,1.0
45.0,79.0,6.0
46.0,21.0,1.0
46.0,23.0,1.0
46.0,32.0,4.0
46.0,36.0,1.0
46.0,38.0,1.0
46.0,43.0,1.0
46.0,44.0,1.0
46.0,50.0,2.0
46.0,51.0,1.0
46.0,52.0,1.0
46.0,61.0,4.0
46.0,66.0,2.0
46.0,73.0,4.0
46.0,74.0,8.0
46.0,75.0,2.0
46.0,76.0,2.0
46.0,77.0,1.0
47.0,17.0,1.0
47.0,21.0,1.0
47.0,22.0,2.0
47.0,43.0,1.0
47.0,44.0,1.0
47.0,51.0,2.0
47.0,53.0,3.0
47.0,55.0,1.0
47.0,58.0,1.0
47.0,64.0,3.0
47.0,66.0,1.0
47.0,68.0,2.0
47.0,69.0,1.0
47.0,70.0,1.0
47.0,71.0,1.0
47.0,74.0,1.0
47.0,75.0,4.0
47.0,76.0,1.0
47.0,78.0,1.0
48.0,7.0,1.0
48.0,33.0,1.0
48.0,53.0,7.0
48.0,59.0,1.0
48.0,60.0,1.0
48.0,61.0,1.0
48.0,62.0,1.0
48.0,63.0,3.0
48.0,65.0,1.0
48.0,68.0,1.0
48.0,71.0,1.0
48.0,72.0,1.0
48.0,73.0,3.0
48.0,74.0,3.0
48.0,75.0,3.0
48.0,76.0,1.0
48.0,77.0,2.0
48.0,78.0,2.0
49.0,10.0,1.0
49.0,43.0,1.0
49.0,44.0,4.0
49.0,50.0,1.0
49.0,53.0,8.0
49.0,54.0,5.0
49.0,55.0,2.0
49.0,56.0,2.0
49.0,57.0,2.0
49.0,58.0,3.0
49.0,61.0,2.0
49.0,74.0,4.0
49.0,75.0,7.0
49.0,77.0,2.0
49.0,78.0,4.0
49.0,79.0,1.0
50.0,19.0,2.0
50.0,20.0,1.0
50.0,21.0,1.0
50.0,33.0,1.0
50.0,43.0,3.0
50.0,44.0,1.0
50.0,49.0,1.0
50.0,50.0,4.0
50.0,51.0,4.0
50.0,53.0,6.0
50.0,54.0,11.0
50.0,56.0,3.0
50.0,57.0,1.0
50.0,59.0,1.0
50.0,64.0,1.0
50.0,67.0,3.0
50.0,69.0,1.0
50.0,72.0,2.0
50.0,74.0,7.0
50.0,75.0,3.0
50.0,76.0,2.0
50.0,77.0,1.0
51.0,14.0,1.0
51.0,19.0,1.0
51.0,21.0,1.0
51.0,36.0,3.0
51.0,37.0,1.0
51.0,38.0,1.0
51.0,39.0,1.0
51.0,40.0,3.0
51.0,42.0,2.0
51.0,43.0,14.0
51.0,44.0,3.0
51.0,45.0,2.0
51.0,46.0,3.0
51.0,47.0,1.0
51.0,48.0,3.0
51.0,53.0,1.0
51.0,54.0,1.0
51.0,62.0,2.0
51.0,64.0,1.0
51.0,65.0,3.0
51.0,66.0,2.0
51.0,68.0,1.0
51.0,69.0,1.0
51.0,70.0,1.0
51.0,71.0,2.0
51.0,72.0,2.0
51.0,74.0,1.0
51.0,75.0,2.0
52.0,15.0,1.0
52.0,33.0,1.0
52.0,35.0,10.0
52.0,36.0,1.0
52.0,42.0,1.0
52.0,44.0,1.0
52.0,46.0,4.0
52.0,49.0,1.0
52.0,53.0,2.0
52.0,54.0,3.0
52.0,55.0,3.0
52.0,57.0,1.0
52.0,58.0,1.0
52.0,60.0,1.0
52.0,61.0,2.0
52.0,62.0,5.0
52.0,63.0,1.0
52.0,64.0,3.0
52.0,65.0,3.0
52.0,66.0,1.0
52.0,68.0,2.0
52.0,69.0,1.0
52.0,70.0,2.0
52.0,72.0,2.0
52.0,75.0,1.0
52.0,78.0,2.0
53.0,17.0,3.0
53.0,33.0,1.0
53.0,35.0,2.0
53.0,39.0,1.0
53.0,51.0,1.0
53.0,52.0,1.0
53.0,53.0,1.0
53.0,54.0,2.0
53.0,57.0,1.0
53.0,59.0,1.0
53.0,61.0,3.0
53.0,62.0,1.0
53.0,63.0,2.0
53.0,64.0,2.0
53.0,65.0,2.0
53.0,67.0,1.0
53.0,70.0,1.0
53.0,72.0,10.0
53.0,73.0,2.0
53.0,75.0,4.0
53.0,77.0,7.0
53.0,78.0,2.0
54.0,18.0,1.0
54.0,43.0,1.0
54.0,51.0,2.0
54.0,52.0,3.0
54.0,54.0,2.0
54.0,55.0,1.0
54.0,56.0,1.0
54.0,58.0,2.0
54.0,59.0,1.0
54.0,62.0,2.0
54.0,63.0,1.0
54.0,64.0,1.0
54.0,67.0,3.0
54.0,70.0,1.0
54.0,72.0,1.0
54.0,73.0,2.0
54.0,75.0,1.0
54.0,76.0,1.0
55.0,27.0,5.0
55.0,35.0,2.0
55.0,36.0,1.0
55.0,39.0,1.0
55.0,46.0,2.0
55.0,47.0,2.0
55.0,48.0,3.0
55.0,49.0,2.0
55.0,50.0,2.0
55.0,52.0,1.0
55.0,53.0,1.0
55.0,54.0,1.0
55.0,58.0,5.0
55.0,67.0,1.0
55.0,70.0,2.0
55.0,71.0,1.0
55.0,73.0,1.0
55.0,74.0,2.0
55.0,75.0,6.0
55.0,76.0,2.0
55.0,77.0,1.0
56.0,19.0,1.0
56.0,21.0,1.0
56.0,33.0,1.0
56.0,46.0,1.0
56.0,47.0,1.0
56.0,50.0,1.0
56.0,52.0,1.0
56.0,54.0,8.0
56.0,55.0,2.0
56.0,58.0,1.0
56.0,63.0,1.0
56.0,65.0,1.0
56.0,70.0,1.0
56.0,73.0,5.0
56.0,75.0,2.0
56.0,77.0,2.0
56.0,78.0,4.0
57.0,19.0,2.0
57.0,21.0,1.0
57.0,22.0,1.0
57.0,33.0,1.0
57.0,36.0,2.0
57.0,41.0,1.0
57.0,44.0,1.0
57.0,47.0,1.0
57.0,51.0,1.0
57.0,52.0,3.0
57.0,53.0,2.0
57.0,55.0,1.0
57.0,63.0,2.0
57.0,64.0,3.0
57.0,65.0,3.0
57.0,66.0,2.0
57.0,69.0,2.0
57.0,70.0,5.0
57.0,71.0,4.0
57.0,72.0,4.0
57.0,73.0,4.0
57.0,74.0,2.0
57.0,75.0,7.0
57.0,77.0,1.0
57.0,78.0,1.0
58.0,21.0,1.0
58.0,23.0,2.0
58.0,25.0,1.0
58.0,26.0,2.0
58.0,28.0,2.0
58.0,30.0,4.0
58.0,33.0,2.0
58.0,40.0,1.0
58.0,44.0,3.0
58.0,45.0,1.0
58.0,46.0,2.0
58.0,49.0,2.0
58.0,50.0,1.0
58.0,51.0,3.0
58.0,52.0,4.0
58.0,53.0,1.0
58.0,54.0,10.0
58.0,55.0,1.0
58.0,58.0,1.0
58.0,59.0,1.0
58.0,61.0,1.0
58.0,62.0,1.0
58.0,63.0,5.0
58.0,64.0,1.0
58.0,65.0,8.0
58.0,66.0,1.0
58.0,67.0,2.0
58.0,68.0,5.0
58.0,70.0,3.0
58.0,71.0,5.0
58.0,72.0,1.0
58.0,73.0,4.0
58.0,74.0,4.0
58.0,75.0,2.0
58.0,79.0,1.0
59.0,20.0,3.0
59.0,27.0,3.0
59.0,28.0,2.0
59.0,33.0,3.0
59.0,34.0,1.0
59.0,38.0,1.0
59.0,44.0,2.0
59.0,45.0,3.0
59.0,46.0,3.0
59.0,48.0,2.0
59.0,50.0,2.0
59.0,51.0,2.0
59.0,52.0,6.0
59.0,53.0,5.0
59.0,54.0,4.0
59.0,55.0,1.0
59.0,58.0,1.0
59.0,59.0,4.0
59.0,60.0,5.0
59.0,62.0,3.0
59.0,63.0,1.0
59.0,64.0,2.0
59.0,65.0,5.0
59.0,66.0,9.0
59.0,67.0,1.0
59.0,68.0,3.0
59.0,71.0,5.0
59.0,72.0,2.0
59.0,73.0,2.0
59.0,74.0,2.0
59.0,75.0,1.0
59.0,76.0,2.0
59.0,78.0,2.0
60.0,20.0,1.0
60.0,30.0,1.0
60.0,33.0,4.0
60.0,34.0,1.0
60.0,35.0,1.0
60.0,36.0,1.0
60.0,38.0,2.0
60.0,39.0,1.0
60.0,41.0,1.0
60.0,42.0,3.0
60.0,43.0,1.0
60.0,44.0,2.0
60.0,46.0,2.0
60.0,48.0,1.0
60.0,49.0,20.0
60.0,50.0,5.0
60.0,51.0,4.0
60.0,52.0,1.0
60.0,54.0,25.0
60.0,55.0,1.0
60.0,56.0,2.0
60.0,57.0,2.0
60.0,58.0,1.0
60.0,59.0,1.0
60.0,60.0,4.0
60.0,62.0,6.0
60.0,63.0,2.0
60.0,64.0,1.0
60.0,65.0,11.0
60.0,66.0,7.0
60.0,67.0,11.0
60.0,68.0,2.0
60.0,69.0,2.0
60.0,73.0,2.0
60.0,74.0,10.0
60.0,75.0,1.0
60.0,76.0,1.0
60.0,77.0,1.0
60.0,80.0,4.0
61.0,20.0,3.0
61.0,31.0,2.0
61.0,32.0,1.0
61.0,35.0,24.0
61.0,36.0,5.0
61.0,37.0,1.0
61.0,38.0,2.0
61.0,39.0,8.0
61.0,40.0,3.0
61.0,41.0,2.0
61.0,42.0,10.0
61.0,43.0,5.0
61.0,44.0,5.0
61.0,45.0,6.0
61.0,46.0,3.0
61.0,47.0,3.0
61.0,48.0,1.0
61.0,50.0,1.0
61.0,52.0,20.0
61.0,53.0,5.0
61.0,55.0,4.0
61.0,56.0,2.0
61.0,57.0,1.0
61.0,61.0,2.0
61.0,62.0,8.0
61.0,63.0,6.0
61.0,64.0,3.0
61.0,65.0,10.0
61.0,66.0,4.0
61.0,67.0,15.0
61.0,68.0,2.0
61.0,69.0,2.0
61.0,70.0,1.0
61.0,74.0,2.0
61.0,78.0,2.0
61.0,79.0,1.0
62.0,33.0,10.0
62.0,34.0,1.0
62.0,35.0,5.0
62.0,42.0,1.0
62.0,43.0,1.0
62.0,44.0,1.0
62.0,45.0,4.0
62.0,47.0,1.0
62.0,48.0,1.0
62.0,49.0,1.0
62.0,52.0,5.0
62.0,54.0,2.0
62.0,56.0,4.0
62.0,61.0,3.0
62.0,62.0,6.0
62.0,63.0,16.0
62.0,64.0,2.0
62.0,65.0,20.0
62.0,66.0,5.0
62.0,67.0,6.0
62.0,68.0,3.0
62.0,69.0,3.0
62.0,70.0,1.0
62.0,71.0,1.0
62.0,72.0,6.0
62.0,73.0,5.0
62.0,74.0,1.0
62.0,78.0,1.0
62.0,79.0,8.0
62.0,80.0,1.0
63.0,33.0,30.0
63.0,36.0,1.0
63.0,39.0,1.0
63.0,40.0,1.0
63.0,44.0,1.0
63.0,45.0,1.0
63.0,46.0,2.0
63.0,47.0,1.0
63.0,49.0,4.0
63.0,50.0,4.0
63.0,55.0,1.0
63.0,56.0,4.0
63.0,57.0,6.0
63.0,59.0,3.0
63.0,60.0,1.0
63.0,61.0,3.0
63.0,62.0,2.0
63.0,63.0,13.0
63.0,64.0,6.0
63.0,65.0,11.0
63.0,66.0,2.0
63.0,67.0,5.0
63.0,68.0,1.0
63.0,70.0,2.0
63.0,71.0,2.0
63.0,74.0,2.0
63.0,77.0,1.0
63.0,78.0,1.0
63.0,79.0,8.0
63.0,80.0,10.0
64.0,33.0,6.0
64.0,34.0,1.0
64.0,35.0,17.0
64.0,36.0,1.0
64.0,37.0,1.0
64.0,39.0,1.0
64.0,41.0,1.0
64.0,43.0,1.0
64.0,47.0,4.0
64.0,50.0,2.0
64.0,51.0,1.0
64.0,52.0,2.0
64.0,54.0,1.0
64.0,55.0,2.0
64.0,56.0,1.0
64.0,57.0,2.0
64.0,58.0,2.0
64.0,59.0,2.0
64.0,61.0,6.0
64.0,62.0,1.0
64.0,63.0,18.0
64.0,64.0,1.0
64.0,65.0,5.0
64.0,66.0,3.0
64.0,67.0,2.0
64.0,68.0,9.0
64.0,69.0,2.0
64.0,71.0,2.0
64.0,72.0,2.0
64.0,74.0,2.0
64.0,77.0,5.0
64.0,78.0,1.0
64.0,79.0,1.0
65.0,33.0,6.0
65.0,34.0,1.0
65.0,39.0,1.0
65.0,40.0,1.0
65.0,41.0,1.0
65.0,45.0,2.0
65.0,46.0,1.0
65.0,48.0,1.0
65.0,50.0,4.0
65.0,52.0,3.0
65.0,53.0,2.0
65.0,54.0,1.0
65.0,55.0,2.0
65.0,56.0,3.0
65.0,57.0,2.0
65.0,58.0,1.0
65.0,59.0,6.0
65.0,60.0,1.0
65.0,61.0,2.0
65.0,62.0,4.0
65.0,63.0,4.0
65.0,64.0,2.0
65.0,65.0,3.0
65.0,66.0,7.0
65.0,68.0,4.0
65.0,69.0,5.0
65.0,70.0,2.0
65.0,72.0,2.0
65.0,76.0,1.0
65.0,80.0,3.0
66.0,33.0,5.0
66.0,40.0,2.0
66.0,47.0,2.0
66.0,50.0,1.0
66.0,52.0,2.0
66.0,53.0,8.0
66.0,54.0,1.0
66.0,56.0,3.0
66.0,58.0,3.0
66.0,59.0,1.0
66.0,60.0,1.0
66.0,62.0,3.0
66.0,63.0,9.0
66.0,64.0,22.0
66.0,65.0,44.0
66.0,66.0,7.0
66.0,67.0,4.0
66.0,68.0,42.0
66.0,69.0,5.0
66.0,75.0,4.0
66.0,76.0,2.0
66.0,78.0,3.0
66.0,79.0,3.0
67.0,33.0,7.0
67.0,37.0,1.0
67.0,50.0,1.0
67.0,51.0,2.0
67.0,52.0,2.0
67.0,54.0,2.0
67.0,55.0,2.0
67.0,57.0,4.0
67.0,59.0,2.0
67.0,60.0,6.0
67.0,61.0,1.0
67.0,62.0,1.0
67.0,63.0,27.0
67.0,64.0,20.0
67.0,65.0,8.0
67.0,66.0,17.0
67.0,67.0,5.0
67.0,68.0,5.0
67.0,69.0,1.0
67.0,70.0,1.0
67.0,72.0,1.0
67.0,73.0,2.0
67.0,74.0,1.0
67.0,75.0,6.0
67.0,77.0,1.0
67.0,78.0,2.0
68.0,22.0,1.0
68.0,23.0,1.0
68.0,25.0,2.0
68.0,26.0,2.0
68.0,27.0,2.0
68.0,33.0,10.0
68.0,34.0,2.0
68.0,35.0,1.0
68.0,45.0,1.0
68.0,50.0,2.0
68.0,51.0,4.0
68.0,53.0,5.0
68.0,55.0,5.0
68.0,56.0,2.0
68.0,57.0,1.0
68.0,58.0,1.0
68.0,59.0,5.0
