x,y,count
7.0,52.0,1.0
9.0,50.0,1.0
10.0,46.0,1.0
10.0,58.0,1.0
13.0,27.0,1.0
13.0,32.0,1.0
13.0,34.0,5.0
13.0,37.0,1.0
14.0,24.0,1.0
15.0,58.0,1.0
19.0,8.0,1.0
19.0,18.0,1.0
20.0,12.0,1.0
23.0,46.0,2.0
23.0,52.0,1.0
24.0,9.0,1.0
24.0,44.0,1.0
24.0,45.0,1.0
25.0,28.0,1.0
25.0,32.0,1.0
25.0,33.0,1.0
25.0,38.0,1.0
25.0,45.0,1.0
26.0,22.0,1.0
26.0,29.0,1.0
26.0,30.0,1.0
26.0,32.0,1.0
26.0,42.0,1.0
26.0,47.0,1.0
27.0,7.0,1.0
27.0,8.0,1.0
27.0,16.0,1.0
27.0,44.0,1.0
27.0,56.0,1.0
27.0,60.0,1.0
28.0,6.0,1.0
28.0,22.0,2.0
28.0,29.0,2.0
28.0,32.0,3.0
28.0,43.0,1.0
28.0,45.0,3.0
28.0,47.0,1.0
28.0,54.0,1.0
28.0,62.0,1.0
29.0,42.0,1.0
29.0,45.0,2.0
30.0,15.0,1.0
30.0,42.0,1.0
30.0,45.0,4.0
31.0,25.0,1.0
31.0,37.0,1.0
31.0,41.0,1.0
31.0,44.0,7.0
31.0,45.0,1.0
31.0,48.0,1.0
31.0,52.0,1.0
31.0,53.0,1.0
32.0,15.0,1.0
32.0,29.0,1.0
32.0,38.0,1.0
32.0,39.0,1.0
32.0,44.0,1.0
32.0,46.0,1.0
32.0,47.0,1.0
32.0,62.0,2.0
33.0,34.0,1.0
33.0,41.0,1.0
33.0,44.0,1.0
33.0,46.0,2.0
33.0,47.0,1.0
34.0,30.0,2.0
34.0,31.0,1.0
34.0,44.0,1.0
35.0,28.0,1.0
35.0,44.0,1.0
35.0,45.0,1.0
35.0,47.0,2.0
35.0,48.0,1.0
36.0,48.0,1.0
36.0,62.0,1.0
36.0,63.0,2.0
37.0,13.0,1.0
37.0,31.0,1.0
37.0,45.0,1.0
37.0,46.0,1.0
37.0,63.0,1.0
37.0,64.0,1.0
38.0,46.0,1.0
38.0,62.0,1.0
38.0,63.0,3.0
39.0,46.0,1.0
39.0,50.0,1.0
39.0,51.0,1.0
39.0,52.0,1.0
39.0,54.0,1.0
39.0,63.0,2.0
39.0,64.0,1.0
40.0,13.0,1.0
40.0,30.0,1.0
40.0,31.0,1.0
40.0,46.0,4.0
40.0,47.0,2.0
40.0,48.0,2.0
40.0,50.0,1.0
40.0,51.0,1.0
40.0,64.0,2.0
41.0,47.0,1.0
41.0,49.0,2.0
41.0,50.0,1.0
41.0,51.0,1.0
41.0,60.0,1.0
41.0,62.0,2.0
41.0,63.0,2.0
41.0,64.0,2.0
42.0,10.0,2.0
42.0,17.0,1.0
42.0,19.0,1.0
42.0,20.0,4.0
42.0,21.0,1.0
42.0,44.0,2.0
42.0,46.0,1.0
42.0,50.0,1.0
42.0,53.0,2.0
42.0,59.0,4.0
42.0,64.0,1.0
42.0,66.0,1.0
42.0,67.0,1.0
43.0,12.0,1.0
43.0,44.0,2.0
43.0,47.0,1.0
43.0,50.0,2.0
43.0,52.0,1.0
43.0,53.0,1.0
43.0,55.0,2.0
43.0,57.0,4.0
43.0,58.0,1.0
43.0,59.0,2.0
43.0,60.0,1.0
43.0,61.0,1.0
43.0,62.0,2.0
43.0,64.0,3.0
43.0,65.0,2.0
44.0,19.0,2.0
44.0,41.0,1.0
44.0,44.0,1.0
44.0,51.0,1.0
44.0,52.0,2.0
44.0,53.0,4.0
44.0,54.0,3.0
44.0,55.0,2.0
44.0,56.0,3.0
44.0,62.0,1.0
44.0,63.0,1.0
44.0,64.0,2.0
44.0,67.0,1.0
45.0,16.0,2.0
45.0,21.0,1.0
45.0,32.0,1.0
45.0,33.0,1.0
45.0,42.0,1.0
45.0,44.0,1.0
45.0,49.0,4.0
45.0,50.0,2.0
45.0,51.0,11.0
45.0,52.0,1.0
45.0,63.0,1.0
45.0,67.0,1.0
45.0,68.0,2.0
45.0,77.0,1.0
46.0,17.0,1.0
46.0,36.0,3.0
46.0,47.0,1.0
46.0,50.0,1.0
46.0,51.0,1.0
46.0,52.0,1.0
46.0,63.0,3.0
46.0,64.0,1.0
46.0,65.0,1.0
46.0,66.0,3.0
46.0,68.0,1.0
46.0,71.0,1.0
46.0,72.0,2.0
46.0,73.0,1.0
46.0,74.0,18.0
46.0,77.0,3.0
46.0,78.0,1.0
47.0,18.0,1.0
47.0,35.0,1.0
47.0,39.0,1.0
47.0,47.0,14.0
47.0,48.0,1.0
47.0,51.0,2.0
47.0,52.0,1.0
