x,y,count
20.0,62.0,3.0
22.0,52.0,1.0
22.0,59.0,2.0
22.0,62.0,2.0
22.0,99.0,1.0
23.0,44.0,1.0
23.0,59.0,1.0
23.0,62.0,1.0
23.0,91.0,1.0
24.0,42.0,1.0
24.0,44.0,1.0
24.0,45.0,6.0
24.0,53.0,1.0
24.0,59.0,3.0
24.0,63.0,1.0
24.0,68.0,3.0
24.0,86.0,1.0
25.0,24.0,1.0
25.0,29.0,2.0
25.0,30.0,2.0
25.0,31.0,1.0
25.0,32.0,1.0
25.0,35.0,1.0
25.0,36.0,1.0
25.0,37.0,1.0
25.0,39.0,1.0
25.0,43.0,1.0
25.0,47.0,1.0
25.0,59.0,1.0
26.0,16.0,1.0
26.0,17.0,2.0
26.0,29.0,2.0
26.0,32.0,1.0
26.0,45.0,2.0
26.0,55.0,1.0
26.0,59.0,2.0
26.0,79.0,1.0
27.0,7.0,1.0
27.0,15.0,1.0
27.0,29.0,1.0
27.0,38.0,1.0
27.0,39.0,1.0
27.0,47.0,1.0
27.0,59.0,4.0
27.0,64.0,1.0
28.0,22.0,2.0
28.0,29.0,1.0
28.0,47.0,1.0
28.0,59.0,2.0
28.0,61.0,2.0
28.0,62.0,1.0
28.0,64.0,1.0
29.0,29.0,1.0
29.0,39.0,1.0
29.0,44.0,1.0
29.0,47.0,1.0
29.0,59.0,4.0
29.0,61.0,3.0
29.0,74.0,1.0
30.0,29.0,1.0
30.0,44.0,1.0
30.0,45.0,2.0
30.0,46.0,1.0
30.0,53.0,1.0
30.0,59.0,2.0
30.0,60.0,1.0
30.0,61.0,4.0
31.0,44.0,1.0
31.0,45.0,2.0
31.0,47.0,6.0
31.0,59.0,4.0
31.0,77.0,1.0
32.0,26.0,1.0
32.0,29.0,2.0
32.0,37.0,3.0
32.0,38.0,4.0
32.0,39.0,1.0
32.0,41.0,1.0
32.0,45.0,1.0
32.0,46.0,1.0
32.0,47.0,1.0
32.0,57.0,2.0
32.0,59.0,2.0
32.0,61.0,1.0
32.0,62.0,1.0
33.0,29.0,1.0
33.0,44.0,1.0
33.0,47.0,2.0
33.0,53.0,1.0
33.0,59.0,2.0
33.0,61.0,4.0
33.0,64.0,1.0
34.0,30.0,1.0
34.0,35.0,1.0
34.0,46.0,1.0
34.0,47.0,5.0
34.0,56.0,1.0
34.0,58.0,1.0
34.0,59.0,6.0
35.0,31.0,1.0
35.0,45.0,1.0
35.0,46.0,1.0
35.0,47.0,2.0
35.0,59.0,14.0
35.0,61.0,1.0
35.0,76.0,1.0
36.0,32.0,3.0
36.0,45.0,4.0
36.0,47.0,1.0
36.0,48.0,1.0
36.0,54.0,1.0
36.0,57.0,2.0
36.0,59.0,5.0
36.0,63.0,1.0
37.0,45.0,1.0
37.0,48.0,3.0
37.0,49.0,1.0
37.0,59.0,1.0
37.0,63.0,1.0
38.0,28.0,1.0
38.0,29.0,1.0
38.0,31.0,3.0
38.0,46.0,1.0
38.0,50.0,2.0
38.0,54.0,3.0
38.0,55.0,1.0
38.0,56.0,1.0
38.0,58.0,1.0
38.0,59.0,10.0
38.0,77.0,1.0
39.0,13.0,7.0
39.0,29.0,1.0
39.0,30.0,2.0
39.0,46.0,2.0
39.0,47.0,1.0
39.0,48.0,3.0
39.0,50.0,1.0
39.0,51.0,3.0
39.0,52.0,1.0
39.0,53.0,1.0
39.0,54.0,1.0
39.0,55.0,3.0
39.0,60.0,5.0
40.0,31.0,1.0
40.0,43.0,1.0
40.0,46.0,1.0
40.0,47.0,4.0
40.0,49.0,1.0
40.0,50.0,4.0
40.0,52.0,2.0
40.0,54.0,1.0
40.0,59.0,2.0
40.0,60.0,2.0
40.0,64.0,1.0
41.0,44.0,1.0
41.0,48.0,1.0
41.0,49.0,2.0
41.0,50.0,6.0
41.0,52.0,2.0
41.0,60.0,5.0
42.0,13.0,1.0
42.0,48.0,3.0
42.0,49.0,8.0
42.0,50.0,3.0
42.0,52.0,3.0
42.0,55.0,1.0
42.0,60.0,23.0
43.0,9.0,1.0
43.0,10.0,1.0
43.0,11.0,2.0
43.0,31.0,1.0
43.0,42.0,1.0
43.0,44.0,1.0
43.0,50.0,7.0
43.0,52.0,2.0
43.0,53.0,1.0
43.0,55.0,1.0
43.0,56.0,2.0
43.0,59.0,4.0
43.0,60.0,5.0
43.0,75.0,1.0
44.0,11.0,1.0
44.0,15.0,1.0
44.0,16.0,1.0
44.0,32.0,1.0
44.0,34.0,1.0
44.0,36.0,1.0
44.0,37.0,2.0
44.0,40.0,4.0
44.0,42.0,2.0
44.0,44.0,1.0
44.0,48.0,7.0
44.0,50.0,10.0
44.0,51.0,2.0
44.0,52.0,7.0
44.0,53.0,5.0
44.0,54.0,3.0
44.0,55.0,3.0
44.0,56.0,1.0
44.0,60.0,1.0
44.0,63.0,2.0
44.0,79.0,1.0
45.0,10.0,1.0
45.0,12.0,3.0
45.0,16.0,1.0
45.0,32.0,3.0
45.0,36.0,1.0
45.0,40.0,2.0
45.0,41.0,7.0
45.0,42.0,3.0
45.0,43.0,29.0
45.0,45.0,1.0
45.0,47.0,1.0
45.0,50.0,1.0
45.0,52.0,2.0
45.0,53.0,2.0
45.0,54.0,5.0
45.0,55.0,3.0
45.0,57.0,1.0
45.0,61.0,1.0
46.0,18.0,4.0
46.0,35.0,1.0
46.0,36.0,2.0
46.0,37.0,2.0
46.0,39.0,3.0
46.0,40.0,3.0
46.0,41.0,1.0
46.0,43.0,2.0
46.0,44.0,1.0
46.0,51.0,2.0
46.0,52.0,2.0
46.0,53.0,1.0
46.0,55.0,1.0
46.0,56.0,2.0
46.0,61.0,1.0
46.0,73.0,1.0
46.0,74.0,12.0
47.0,16.0,1.0
47.0,44.0,1.0
47.0,51.0,1.0
47.0,52.0,2.0
47.0,53.0,2.0
47.0,54.0,1.0
47.0,56.0,2.0
47.0,57.0,2.0
