x,y,count
17.0,54.0,2.0
17.0,55.0,1.0
22.0,28.0,3.0
22.0,62.0,1.0
22.0,63.0,2.0
23.0,10.0,1.0
23.0,27.0,1.0
23.0,29.0,16.0
23.0,43.0,3.0
23.0,44.0,2.0
23.0,47.0,1.0
23.0,50.0,1.0
23.0,51.0,2.0
23.0,59.0,1.0
23.0,62.0,1.0
23.0,63.0,1.0
23.0,92.0,1.0
24.0,8.0,5.0
24.0,42.0,1.0
24.0,43.0,1.0
24.0,44.0,1.0
24.0,45.0,2.0
24.0,47.0,1.0
24.0,48.0,1.0
24.0,59.0,8.0
24.0,83.0,1.0
25.0,8.0,1.0
25.0,15.0,2.0
25.0,16.0,3.0
25.0,17.0,7.0
25.0,18.0,1.0
25.0,19.0,1.0
25.0,25.0,1.0
25.0,27.0,1.0
25.0,31.0,1.0
25.0,36.0,1.0
25.0,38.0,1.0
25.0,39.0,1.0
25.0,41.0,1.0
25.0,42.0,1.0
25.0,45.0,3.0
25.0,47.0,1.0
25.0,59.0,4.0
26.0,16.0,1.0
26.0,17.0,1.0
26.0,19.0,2.0
26.0,22.0,1.0
26.0,29.0,27.0
26.0,41.0,1.0
26.0,62.0,1.0
26.0,63.0,1.0
26.0,81.0,2.0
27.0,9.0,1.0
27.0,11.0,1.0
27.0,29.0,3.0
27.0,42.0,1.0
27.0,44.0,1.0
27.0,45.0,1.0
27.0,52.0,1.0
27.0,57.0,1.0
27.0,59.0,5.0
27.0,62.0,5.0
28.0,19.0,1.0
28.0,56.0,1.0
28.0,59.0,1.0
28.0,60.0,2.0
28.0,61.0,2.0
28.0,62.0,2.0
28.0,77.0,2.0
29.0,13.0,1.0
29.0,29.0,1.0
29.0,39.0,21.0
29.0,42.0,1.0
29.0,44.0,2.0
29.0,47.0,1.0
29.0,50.0,2.0
29.0,51.0,1.0
29.0,59.0,5.0
29.0,61.0,2.0
29.0,62.0,1.0
29.0,64.0,1.0
29.0,77.0,2.0
30.0,15.0,1.0
30.0,16.0,1.0
30.0,43.0,2.0
30.0,44.0,5.0
30.0,45.0,1.0
30.0,49.0,1.0
30.0,51.0,1.0
30.0,52.0,1.0
30.0,59.0,3.0
30.0,61.0,14.0
30.0,62.0,2.0
31.0,12.0,1.0
31.0,41.0,1.0
31.0,43.0,3.0
31.0,44.0,6.0
31.0,45.0,1.0
31.0,46.0,2.0
31.0,47.0,4.0
31.0,48.0,1.0
31.0,49.0,1.0
31.0,52.0,1.0
31.0,53.0,1.0
31.0,55.0,1.0
31.0,56.0,1.0
31.0,59.0,1.0
31.0,61.0,8.0
31.0,62.0,1.0
32.0,26.0,2.0
32.0,43.0,2.0
32.0,44.0,3.0
32.0,45.0,7.0
32.0,46.0,4.0
32.0,54.0,2.0
32.0,55.0,1.0
32.0,56.0,1.0
32.0,58.0,2.0
32.0,59.0,3.0
32.0,61.0,1.0
32.0,62.0,1.0
33.0,26.0,2.0
33.0,28.0,1.0
33.0,29.0,1.0
33.0,43.0,2.0
33.0,44.0,9.0
33.0,46.0,1.0
33.0,53.0,1.0
33.0,55.0,1.0
33.0,57.0,9.0
33.0,58.0,1.0
33.0,59.0,6.0
33.0,61.0,1.0
33.0,62.0,7.0
33.0,63.0,3.0
34.0,14.0,1.0
34.0,26.0,1.0
34.0,27.0,1.0
34.0,28.0,1.0
34.0,44.0,1.0
34.0,45.0,1.0
34.0,47.0,2.0
34.0,52.0,2.0
34.0,56.0,1.0
34.0,59.0,7.0
34.0,61.0,1.0
34.0,63.0,1.0
35.0,45.0,5.0
35.0,48.0,1.0
35.0,51.0,1.0
35.0,56.0,3.0
35.0,59.0,2.0
35.0,61.0,1.0
35.0,63.0,3.0
35.0,66.0,1.0
36.0,9.0,4.0
